source_type,source_id,source_label,metric,category,recall_status,mean,lower,upper,interval,confidence_level,n_units
observed,Observed,Observed data,original_z_early_lpp,Negative,Remembered,1.002011687656726,0.7829080243751605,1.2227227020179563,Percentile bootstrap across participant cell means,0.95,38
observed,Observed,Observed data,original_z_early_lpp,Negative,Forgotten,0.5475090001330576,0.35541142695903677,0.7537297842683663,Percentile bootstrap across participant cell means,0.95,38
observed,Observed,Observed data,original_z_early_lpp,Neutral,Remembered,0.3735682134216258,0.1909145583576979,0.5703218420376691,Percentile bootstrap across participant cell means,0.95,38
observed,Observed,Observed data,original_z_early_lpp,Neutral,Forgotten,0.33874118498828903,0.16402326756281846,0.5168616294978402,Percentile bootstrap across participant cell means,0.95,38
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,LPP-based boost for negative items only,original_z_early_lpp,Negative,Remembered,1.0784776340112514,0.9922140673910269,1.1637224257805543,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,LPP-based boost for negative items only,original_z_early_lpp,Negative,Forgotten,0.5188071928756659,0.4485568403607928,0.5842030273166054,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,LPP-based boost for negative items only,original_z_early_lpp,Neutral,Remembered,0.3827535968506094,0.32659162085807625,0.4352733426240893,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,LPP-based boost for negative items only,original_z_early_lpp,Neutral,Forgotten,0.36257349010323847,0.31511415335383364,0.40798868972504837,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Emotion-based boost,original_z_early_lpp,Negative,Remembered,0.7837941045908652,0.7093462713749251,0.8585318540160227,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Emotion-based boost,original_z_early_lpp,Negative,Forgotten,0.7556849234009593,0.6699892471257286,0.8298405582816686,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Emotion-based boost,original_z_early_lpp,Neutral,Remembered,0.3773465295618101,0.30967378891281405,0.43872462137405144,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Emotion-based boost,original_z_early_lpp,Neutral,Forgotten,0.36684798309293937,0.32803773244252543,0.4133581998022415,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Emotion-based boost + LPP-based boost for negative items only,original_z_early_lpp,Negative,Remembered,0.9835978727311047,0.9143161038180043,1.061911272155446,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Emotion-based boost + LPP-based boost for negative items only,original_z_early_lpp,Negative,Forgotten,0.5364405224224342,0.4603599324820192,0.6093021852557934,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Emotion-based boost + LPP-based boost for negative items only,original_z_early_lpp,Neutral,Remembered,0.38527256378607694,0.3222342028001768,0.44607804204716245,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Emotion-based boost + LPP-based boost for negative items only,original_z_early_lpp,Neutral,Forgotten,0.361709349007578,0.3180600035953576,0.4062887891553377,Central interval across complete simulated datasets,0.95,200
